13,07:32:00,00:01:40
10,07:33:00,00:02:39
13,07:34:00,00:01:49
7,07:32:00,00:04:31
4,07:33:00,00:03:59
9,07:33:00,00:04:24
5,07:33:00,00:04:25
13,07:36:00,00:01:41
14,07:35:00,00:02:52
10,07:36:00,00:02:30
17,07:33:00,00:05:32
8,07:32:00,00:06:36
4,07:36:00,00:02:59
19,07:33:00,00:06:22
1,07:34:00,00:05:23
18,07:33:00,00:06:40
9,07:36:00,00:03:54
15,07:35:00,00:05:36
6,07:33:00,00:07:36
17,07:36:00,00:04:44
16,07:35:00,00:05:44
5,07:36:00,00:04:52
2,07:34:00,00:06:52
20,07:33:00,00:08:01
7,07:36:00,00:05:17
10,07:39:00,00:02:38
18,07:36:00,00:05:45
13,07:38:00,00:03:46
3,07:33:00,00:08:51
13,07:40:00,00:01:58
6,07:36:00,00:06:36
8,07:36:00,00:06:44
20,07:36:00,00:06:59
4,07:39:00,00:04:07
1,07:38:00,00:05:13
12,07:32:00,00:11:15
21,07:37:00,00:06:17
2,07:38:00,00:05:23
3,07:36:00,00:07:51
9,07:39:00,00:05:10
10,07:42:00,00:02:30
5,07:39:00,00:05:32
17,07:39:00,00:05:41
15,07:40:00,00:05:09
19,07:39:00,00:06:14
18,07:39:00,00:06:40
7,07:40:00,00:06:34
6,07:39:00,00:07:36
17,07:42:00,00:04:41
16,07:40:00,00:06:44
8,07:40:00,00:06:51
4,07:42:00,00:04:59
1,07:42:00,00:05:05
2,07:42:00,00:05:07
9,07:42:00,00:05:19
18,07:42:00,00:05:41
10,07:45:00,00:02:43
5,07:42:00,00:06:32
6,07:42:00,00:06:36
7,07:44:00,00:06:32
8,07:44:00,00:06:34
5,07:45:00,00:05:40
15,07:45:00,00:05:47
17,07:45:00,00:05:54
9,07:45:00,00:06:20
1,07:46:00,00:06:40
19,07:45:00,00:07:55
17,07:48:00,00:05:33
10,07:48:00,00:05:38
5,07:48:00,00:06:34
7,07:48:00,00:06:50
17,07:51:00,00:04:25
1,07:50:00,00:05:33
15,07:50:00,00:05:41
5,07:51:00,00:05:45
9,07:48:00,00:09:17
19,07:51:00,00:06:19
7,07:52:00,00:06:32
5,07:54:00,00:05:18
17,07:54:00,00:05:27
1,07:54:00,00:06:32
15,07:55:00,00:05:40
9,07:51:00,00:10:13
17,07:57:00,00:04:13
7,07:56:00,00:06:32
5,07:57:00,00:05:41
19,07:57:00,00:06:08
1,07:58:00,00:06:32
5,08:00:00,00:05:06
15,08:00:00,00:05:17
7,08:00:00,00:06:32
1,08:02:00,00:05:28
5,08:03:00,00:05:32
19,08:03:00,00:06:22
